Park,Name,Unit Code,Park Type,Region,State,Sum Visits,Year,Month,Recreation Visits,Tent Campers,RV Campers,Backcountry Campers,Latitude,Longitude
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,30585944,2012,1,11930,0,0,0,44.35,-68.21
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,30585944,2012,2,12388,0,0,0,44.35,-68.21
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,30585944,2012,3,22684,0,0,0,44.35,-68.21
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,30585944,2012,4,59471,1338,174,0,44.35,-68.21
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,30585944,2012,5,157406,7800,1467,29,44.35,-68.21
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,30585944,2012,6,309198,17220,3888,205,44.35,-68.21
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,30585944,2012,7,539234,36156,6540,300,44.35,-68.21
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,30585944,2012,8,574307,37554,7200,392,44.35,-68.21
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,30585944,2012,9,391810,17832,6291,334,44.35,-68.21
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,30585944,2012,10,302932,6387,1134,56,44.35,-68.21
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,30585944,2012,11,38385,195,66,0,44.35,-68.21
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,30585944,2012,12,11307,0,0,0,44.35,-68.21
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,30585944,2013,1,11249,0,0,0,44.35,-68.21
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,30585944,2013,2,9869,0,0,0,44.35,-68.21
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,30585944,2013,3,20631,0,0,0,44.35,-68.21
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,30585944,2013,4,47090,1203,0,0,44.35,-68.21
