Park,Name,Unit Code,Park Type,Region,State,Visits,Latitude,Longitude
Acadia NP,Acadia National Park,ACAD,National Park,Northeast ,ME,30585944,44.35,-68.21
Arches NP,Arches National Park,ARCH,National Park,Intermountain ,UT,14330410,38.68,-109.57
Badlands NP,Badlands National Park,BADL,National Park,Midwest ,SD,9804912,43.75,-102.5
Big Bend NP,Big Bend National Park,BIBE,National Park,Intermountain ,TX,4012473,29.25,-103.25
Biscayne NP,Biscayne National Park,BISC,National Park,Southeast ,FL,5264240,25.65,-80.08
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,BLCA,National Park,Intermountain ,CO,2698104,38.57,-107.72
Bryce Canyon NP,Bryce Canyon National Park,BRCA,National Park,Intermountain ,UT,19659203,37.57,-112.18
Canyonlands NP,Canyonlands National Park,CANY,National Park,Intermountain ,UT,6489674,38.2,-109.93
Capitol Reef NP,Capitol Reef National Park,CARE,National Park,Intermountain ,UT,10120164,38.2,-111.17
Carlsbad Caverns NP,Carlsbad Caverns National Park,CAVE,National Park,Intermountain ,NM,4039134,32.17,-104.44
Channel Islands NP,Channel Islands National Park,CHIS,National Park,Pacific West ,CA,3139516,34.01,-119.42
Congaree NP,Congaree National Park,CONG,National Park,Southeast ,SC,1380959,33.78,-80.78
Crater Lake NP,Crater Lake National Park,CRLA,National Park,Pacific West ,OR,6332013,42.94,-122.1
Cuyahoga Valley NP,Cuyahoga Valley National Park,CUVA,National Park,Midwest ,OH,23192415,41.24,-81.55
Death Valley NP,Death Valley National Park,DEVA,National Park,Pacific West ,CA,12169984,36.24,-116.82
Dry Tortugas NP,Dry Tortugas National Park,DRTO,National Park,Southeast ,FL,650990,24.63,-82.87
Everglades NP,Everglades National Park,EVER,National Park,Southeast ,FL,9686687,25.32,-80.93
Gateway Arch NP,Gateway Arch National Park,JEFF,National Park,Midwest ,MO,16762365,38.63,-90.19
Glacier NP,Glacier National Park,GLAC,National Park,Intermountain ,MT,26104854,48.8,-114
Grand Canyon NP,Grand Canyon National Park,GRCA,National Park,Intermountain ,AZ,51272429,36.06,-112.14
Grand Teton NP,Grand Teton National Park,GRTE,National Park,Intermountain ,WY,31994072,43.73,-110.8
Great Basin NP,Great Basin National Park,GRBA,National Park,Pacific West ,NV,1274285,38.98,-114.3
Great Sand Dunes NP & PRES,Great Sand Dunes National Park,GRSA,National Park,Intermountain ,CO,16014242,37.73,-105.51
Great Smoky Mountains NP,Great Smoky Mountains National Park,GRSM,National Park,Southeast ,TN,112730364,35.68,-83.53
Guadalupe Mountains NP,Guadalupe Mountains National Park,GUMO,National Park,Intermountain ,TX,1804256,31.92,-104.87
Hot Springs NP,Hot Springs National Park,HOSP,National Park,Midwest ,AR,15061925,34.51,-93.05
Indiana Dunes NP,Indiana Dunes National Park,INDU,National Park,Midwest ,IN,19982017,41.6533,-87.0524
Isle Royale NP,Isle Royale National Park,ISRO,National Park,Midwest ,MI,203888,48.1,-88.55
Joshua Tree NP,Joshua Tree National Park,JOTR,National Park,Pacific West ,CA,23148893,33.79,-115.9
Kings Canyon NP,Kings Canyon National Park,KICA,National Park,Pacific West ,CA,5738490,36.8,-118.55
Lassen Volcanic NP,Lassen Volcanic National Park,LAVO,National Park,Pacific West ,CA,4697838,40.49,-121.51
Mammoth Cave NP,Mammoth Cave National Park,MACA,National Park,Southeast ,KY,5157447,37.18,-86.1
Mesa Verde NP,Mesa Verde National Park,MEVE,National Park,Intermountain ,CO,5150877,37.18,-108.49
Mount Rainier NP,Mount Rainier National Park,MORA,National Park,Pacific West ,WA,13322929,46.85,-121.75
New River Gorge NP & PRES,Great Sand Dunes National Park,NERI,National Park,Northeast ,WV,16014242,37.9,-81.04
North Cascades NP,North Cascades National Park,NOCA,National Park,Pacific West ,WA,269105,48.7,-121.2
Olympic NP,Olympic National Park,OLYM,National Park,Pacific West ,WA,30778461,47.97,-123.5
Petrified Forest NP,Petrified Forest National Park,PEFO,National Park,Intermountain ,AZ,6473887,35.07,-109.78
Pinnacles NP,Pinnacles National Park,PINN,National Park,Pacific West ,CA,2228183,36.48,-121.16
Redwood NP,Redwood National Park,REDW,National Park,Pacific West ,CA,4371801,41.3,-124
Rocky Mountain NP,Rocky Mountain National Park,ROMO,National Park,Intermountain ,CO,39766818,40.4,-105.58
Saguaro NP,Saguaro National Park,SAGU,National Park,Intermountain ,AZ,8344394,32.25,-110.5
Sequoia NP,Sequoia National Park,SEQU,National Park,Pacific West ,CA,11029684,36.43,-118.68
Shenandoah NP,Shenandoah National Park,SHEN,National Park,Northeast ,VA,13769078,38.53,-78.35
Theodore Roosevelt NP,Theodore Roosevelt National Park,THRO,National Park,Midwest ,ND,6575576,46.97,-103.45
Voyageurs NP,Voyageurs National Park,VOYA,National Park,Midwest ,MN,2383629,48.5,-92.88
White Sands NP,White Sands National Park,WHSA,National Park,Intermountain ,NM,5517001,32.77,-106.17
Wind Cave NP,Wind Cave National Park,WICA,National Park,Midwest ,SD,5870899,43.57,-103.48
Yellowstone NP,Yellowstone National Park,YELL,National Park,Intermountain ,WY,39422490,44.6,-110.5
Yosemite NP,Yosemite National Park,YOSE,National Park,Pacific West ,CA,38931417,37.83,-119.5
Zion NP,Zion National Park,ZION,National Park,Intermountain ,UT,38858865,37.3,-113.05
